Country Name	Country Code	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017
Australia	AUS	18072000	18311000	18517000	18711000	18926000	19153000	19413000	19651400	19895400	20127400	20394800	20697900	20827600	21249200	21691700	22031750	22340024	22742475	23145901	23504138	23850784	24210809	24598933
Austria	AUT	7948278	7959017	7968041	7976789	7992324	8011566	8042293	8081957	8121423	8171966	8227829	8268641	8295487	8321496	8343323	8363404	8391643	8429991	8479823	8546356	8642699	8736668	8809212
Azerbaijan	AZE	7685000	7763000	7838250	7913000	7982750	8048600	8111200	8171950	8234100	8306500	8391850	8484550	8581300	8763400	8947243	9054332	9173082	9295784	9416801	9535079	9649341	9757812	9862429
Burundi	BDI	5962058	6041112	6112097	6186352	6278940	6400706	6555829	6741569	6953113	7182451	7423289	7675338	7939573	8212264	8489031	8766930	9043508	9319710	9600186	9891790	10199270	10524117	10864245
Belgium	BEL	10136811	10156637	10181245	10203008	10226419	10251250	10286570	10332785	10376133	10421137	10478617	10547958	10625700	10709973	10796493	10895586	11047744	11128246	11182817	11209057	11274196	11331422	11372068
Benin	BEN	5905558	6094259	6281639	6470265	6664098	6865951	7076733	7295394	7520555	7750004	7982225	8216896	8454791	8696916	8944706	9199259	9460802	9729160	10004451	10286712	10575952	10872298	11175692
Burkina Faso	BFA	10089878	10372745	10665546	10968724	11282701	11607942	11944587	12293100	12654621	13030569	13421930	13829177	14252021	14689726	15141099	15605217	16081904	16571216	17072723	17585977	18110624	18646433	19193382
Bangladesh	BGD	118706871	121269645	123854640	126447965	129029691	131581243	134107160	136600667	139019001	141307489	143431101	145368004	147139191	148805814	150454708	152149102	153911916	155727053	157571292	159405279	161200886	162951560	164669751
Bulgaria	BGR	8406067	8362826	8312068	8256786	8210624	8170172	8009142	7837161	7775327	7716860	7658972	7601022	7545338	7492561	7444443	7395599	7348328	7305888	7265115	7223938	7177991	7127822	7075991
Bahrain	BHR	563699	578668	594930	613702	636545	664614	697549	735148	778711	829848	889168	958414	1035891	1114590	1185029	1240862	1278269	1300217	1315411	1336397	1371855	1425171	1492584
"Bahamas, The"	BHS	280150	283790	286970	290060	293572	297890	303135	309157	315746	322526	329249	335830	342328	348676	354856	360832	366568	372039	377240	382169	386838	391232	395361
Bosnia and Herzegovina	BIH	3843712	3780378	3752431	3750485	3759118	3766706	3771284	3775807	3779247	3781287	3781530	3779468	3774000	3763599	3746561	3722084	3688865	3648200	3604999	3566002	3535961	3516816	3507017
Belarus	BLR	10194000	10160000	10117000	10069000	10026738	9979610	9928549	9865548	9796749	9730146	9663915	9604924	9560953	9527985	9506765	9490583	9473172	9464495	9465997	9474511	9489616	9501534	9507875
Belize	BLZ	206963	213676	221606	230284	239026	247315	254984	262206	269130	276089	283277	290747	298407	306165	313929	321608	329192	336701	344181	351694	359288	366954	374681
Bermuda	BMU	59746	60129	60497	60943	61285	61833	62504	62912	63325	63740	64154	64523	64888	65273	65636	65124	64564	64798	65001	65139	65239	65341	65441
Bolivia	BOL	7566714	7717443	7870855	8026254	8182712	8339512	8496375	8653345	8810420	8967741	9125409	9283334	9441444	9599855	9758748	9918242	10078343	10239004	10400264	10562159	10724705	10887882	11051600
Brazil	BRA	162296612	164913306	167545164	170170640	172759243	175287587	177750670	180151021	182482149	184738458	186917361	189012412	191026637	192979029	194895996	196796269	198686688	200560983	202408632	204213133	205962108	207652865	209288278
Barbados	BRB	264959	265942	266945	267950	268922	269847	270685	271478	272258	273091	274009	275039	276150	277319	278470	279569	280601	281585	282509	283385	284217	284996	285719
Brunei Darussalam	BRN	297192	304699	312038	319222	326289	333241	340117	346867	353389	359523	365158	370250	374864	379252	383772	388662	394013	399748	405716	411704	417542	423196	428697
Bhutan	BTN	514877	519282	528754	542155	557543	573416	589600	606399	623434	640282	656639	672228	686958	700950	714458	727641	740510	752967	764961	776448	787386	797765	807610
Botswana	BWA	1569094	1604060	1637635	1669625	1699862	1728340	1754935	1779953	1804339	1829330	1855852	1884238	1914414	1946351	1979882	2014866	2051339	2089315	2128507	2168573	2209197	2250260	2291661
Central African Republic	CAF	3352767	3435821	3517309	3597385	3676508	3754986	3832203	3907612	3981665	4055036	4127910	4201758	4275800	4345386	4404230	4448525	4476153	4490416	4499653	4515392	4546100	4594621	4659080
Canada	CAN	29354000	29671900	29987200	30247900	30499200	30769700	31081900	31362000	31676000	31995000	32312000	32570505	32887928	33245773	33628571	34005274	34342780	34750545	35152370	35535348	35832513	36264604	36708083
Central Europe and the Baltics	CEB	109913216	109563097	109459093	109207205	109102354	108405522	107800399	107097577	106760768	106466116	106173766	105901322	105504531	105126686	104924372	104543801	104174038	103935318	103713726	103496179	103257751	102994343	102727102
Switzerland	CHE	7040687	7071850	7088906	7110001	7143991	7184250	7229854	7284753	7339001	7389625	7437115	7483934	7551117	7647675	7743831	7824909	7912398	7996861	8089346	8188649	8282396	8373338	8466017
Channel Islands	CHI	144046	144829	145715	146671	147687	148725	149793	150901	152038	153170	154294	155411	156513	157581	158603	159581	160497	161358	162180	162969	163758	164541	165314
Chile	CHL	14296613	14497826	14694835	14887756	15076952	15262754	15444969	15623635	15799542	15973778	16147064	16319792	16491687	16661942	16829442	16993354	17153357	17309746	17462982	17613798	17762681	17909754	18054726
China	CHN	1204855000	1217550000	1230075000	1241935000	1252735000	1262645000	1271850000	1280400000	1288400000	1296075000	1303720000	1311020000	1317885000	1324655000	1331260000	1337705000	1344130000	1350695000	1357380000	1364270000	1371220000	1378665000	1386395000
Cote d'Ivoire	CIV	14540820	14995249	15445986	15884552	16300233	16686561	17040152	17366517	17679355	17997738	18336303	18699435	19085941	19497986	19936366	20401331	20895311	21418603	21966312	22531350	23108472	23695919	24294750
Cameroon	CMR	13460994	13812472	14165423	14523570	14891891	15274234	15671927	16084886	16513822	16959081	17420795	17899562	18395389	18907008	19432541	19970495	20520447	21082383	21655715	22239904	22834522	23439189	24053727
"Congo, Dem. Rep."	COD	41595744	42770544	43830146	44840529	45898667	47076387	48394338	49835756	51390033	53034217	54751476	56543011	58417562	60373608	62409435	64523263	66713597	68978682	71316033	73722860	76196619	78736153	81339988
"Congo, Rep."	COG	2799255	2879222	2962470	3048453	3136344	3225727	3315806	3407180	3502519	3605439	3718243	3842365	3976246	4115435	4253712	4386693	4512730	4633363	4751393	4871101	4995648	5125821	5260750
Colombia	COL	37441977	38049038	38645411	39234062	39819279	40403958	40988909	41572491	42152151	42724163	43285634	43835722	44374572	44901544	45416181	45918097	46406646	46881475	47342981	47791911	48228697	48653419	49065615
Comoros	COM	475394	488627	501953	515385	528848	542357	555888	569479	583211	597228	611627	626425	641620	657229	673252	689692	706569	723868	741500	759385	777424	795601	813912
Cabo Verde	CPV	389127	398773	408175	417323	426285	435079	443716	452106	460147	467664	474567	480795	486438	491723	496963	502384	508067	513979	520106	526437	532913	539560	546388
Costa Rica	CRI	3510926	3596732	3682725	3767373	3848723	3925443	3996798	4063204	4125971	4187038	4247841	4308794	4369469	4429508	4488263	4545280	4600474	4654122	4706401	4757575	4807852	4857274	4905769
Caribbean small states	CSS	6292827	6343683	6392040	6438587	6484510	6530691	6577216	6623792	6670276	6716373	6761932	6806838	6851221	6895315	6939534	6984096	7029022	7074129	7118888	7162679	7204948	7245472	7284294
Cuba	CUB	10906043	10961012	11013983	11064097	11110004	11150736	11186542	11217998	11244885	11266941	11284253	11296233	11303687	11309754	11318602	11333051	11354651	11382146	11412167	11439767	11461432	11475982	11484636
Curacao	CUW	145139	146306	146956	144472	139428	133860	129047	129205	131897	134192	137658	141239	144056	145880	146833	148703	150831	152088	153822	155909	157980	159663	161014
Cayman Islands	CYM	31672	33536	35597	37740	39808	41687	43316	44738	46028	47299	48622	50031	51483	52926	54279	55507	56579	57523	58371	59172	59963	60765	61559
Cyprus	CYP	855384	873423	891192	908704	926050	943286	960282	976966	993563	1010410	1027658	1045509	1063712	1081563	1098076	1112607	1124835	1135062	1143896	1152309	1160985	1170125	1179551
Czech Republic	CZE	10327253	10315241	10304131	10294373	10283860	10255063	10216605	10196916	10193998	10197101	10211216	10238905	10298828	10384603	10443936	10474410	10496088	10510785	10514272	10525347	10546059	10566332	10591323
Germany	DEU	81678051	81914831	82034771	82047195	82100243	82211508	82349925	82488495	82534176	82516260	82469422	82376451	82266372	82110097	81902307	81776930	80274983	80425823	80645605	80982500	81686611	82348669	82695000
Djibouti	DJI	630388	643682	660953	680612	700099	717584	732711	746221	758615	770752	783254	796208	809402	822934	836840	851146	865937	881185	896688	912164	927414	942333	956985
Dominica	DMA	71368	71145	70753	70290	69903	69676	69670	69824	70093	70379	70627	70807	70950	71074	71229	71440	71718	72044	72400	72778	73162	73543	73925
Denmark	DNK	5233373	5263074	5284991	5304219	5321799	5339616	5358783	5375931	5390574	5404523	5419432	5437272	5461438	5493621	5523095	5547683	5570572	5591572	5614932	5643475	5683483	5728010	5769603
Dominican Republic	DOM	7892423	8029113	8163472	8296375	8429112	8562622	8697126	8832285	8967760	9102998	9237566	9371338	9504353	9636520	9767758	9897985	10027095	10154950	10281296	10405844	10528394	10648791	10766998
Algeria	DZA	28904298	29411415	29886839	30335732	30765613	31183660	31592153	31995046	32403514	32831096	33288437	33777915	34300076	34860715	35465760	36117637	36819558	37565847	38338562	39113313	39871528	40606052	41318142
East Asia & Pacific (excluding high income)	EAP	1717381821	1738422945	1759201938	1779221736	1798083668	1815956211	1833033752	1849372898	1865072190	1880346879	1895491197	1910175419	1924328623	1938363936	1952308448	1966231608	1980303926	1994651365	2009173000	2023837097	2038410865	2053299126	2068308373
Early-demographic dividend	EAR	2252578506	2297015199	2341634408	2386184548	2430487146	2474600589	2518353223	2561812502	2605067367	2648271523	2691528375	2734859659	2778276175	2821797496	2865439651	2909410986	2953406021	2997066325	3040700765	3084236443	3127578757	3170657660	3213426923
East Asia & Pacific	EAS	1941918800	1964635058	1986799861	2008140141	2028095314	2047150745	2065521836	2082953527	2099545576	2115557365	2131363078	2147029631	2162104019	2177421759	2192352319	2207154641	2221934584	2237082761	2252311022	2267745366	2283108073	2298726779	2314364990
Europe & Central Asia (excluding high income)	ECA	391384579	391791161	392200932	392498014	392517924	392657969	392446165	392134307	392280391	392625999	393027492	393571334	394257705	395304586	397043992	399053204	401241932	403439691	405871230	408271623	410770813	413234935	415546194
Europe & Central Asia	ECS	856352860	857652705	859112733	860236341	861380108	862304086	863615632	865196877	867457664	870030756	872661616	875343235	878465990	881965815	885591814	889016507	891098854	894679968	898881448	903123160	907426233	911686319	915545801
Ecuador	ECU	11440583	11683479	11924993	12163885	12398691	12628596	12852755	13072060	13289601	13509647	13735233	13967480	14205453	14447562	14691275	14934690	15177355	15419666	15661547	15903112	16144368	16385068	16624858
"Egypt, Arab Rep."	EGY	63714386	64933456	66151117	67378056	68626664	69905988	71226940	72590118	73981942	75381899	76778149	78159048	79537253	80953881	82465022	84107606	85897561	87813257	89807433	91812566	93778172	95688681	97553151
Euro area	EMU	317181449	318003015	318761764	319433983	320258902	321310787	322547880	324125338	325885964	327682507	329380413	330922791	332645166	334274730	335360887	336151474	335429120	336180504	337325526	338466271	339533474	340617355	341465149
Eritrea	ERI	3090159	3116379	3161350	3224223	3302263	3392801	3497124	3614639	3738265	3858623	3969007	4066648	4153332	4232636	4310334	4390840	4474690						
Spain	ESP	39724050	39889852	40057389	40223509	40386875	40567864	40850412	41431558	42187645	42921895	43653155	44397319	45226803	45954106	46362946	46576897	46742697	46773055	46620045	46480882	46444832	46484062	46572028
Estonia	EST	1436634	1415594	1399535	1386156	1390244	1396985	1388115	1379350	1370720	1362550	1354775	1346810	1340680	1337090	1334515	1331475	1327439	1322696	1317997	1314545	1315407	1315790	1315480
Ethiopia	ETH	57309880	59155148	60976450	62794151	64640054	66537331	68492257	70497192	72545144	74624405	76727083	78850689	81000409	83184892	85416253	87702670	90046756	92444183	94887724	97366774	99873033	102403196	104957438
European Union	EUU	484271344	485000716	485892094	486565871	487539366	488178832	489155665	490390251	492200117	494162543	496115006	497973712	499916647	501808477	503317964	504421126	504015371	505117542	506621110	508193872	509717579	511218960	512461290
Fragile and conflict affected situations	FCS	298837493	306691898	314393550	321885559	329495037	337602457	346168747	355076801	364275678	373680882	383230416	392932365	402796842	412832401	423028631	433388814	443918286	454618893	465515402	476608101	487923553	499508468	511336623
Finland	FIN	5107790	5124573	5139835	5153498	5165474	5176209	5188008	5200598	5213014	5228172	5246096	5266268	5288720	5313399	5338871	5363352	5388272	5413971	5438972	5461512	5479531	5495303	5511303
Fiji	FJI	775498	784476	792860	800315	806494	811223	814218	815691	816628	818354	821817	827411	834812	843340	851967	859950	867086	873596	879715	885806	892149	898760	905502
France	FRA	59541899	59753100	59964851	60186288	60496718	60912500	61357430	61805267	62244886	62704895	63179351	63621381	64016227	64374989	64707044	65027507	65342775	65659789	65998660	66316092	66593366	66859768	67118648
Faroe Islands	FRO	46040	46058	46251	46580	46937	47258	47526	47769	47974	48143	48285	48383	48448	48485	48517	48550	48608	48666	48747	48842	48965	49117	49290
"Micronesia, Fed. Sts."	FSM	107556	108344	108502	108238	107816	107432	107165	106983	106816	106577	106196	105684	105078	104478	103960	103616	103468	103503	103702	104015	104433	104937	105544
Gabon	GAB	1086137	1113994	1142324	1171224	1200773	1231122	1262259	1294409	1328146	1364205	1403126	1444844	1489193	1536411	1586754	1640210	1697101	1756817	1817271	1875713	1930175	1979786	2025137
United Kingdom	GBR	58019030	58166950	58316954	58487141	58682466	58892514	59119673	59370479	59647577	59987905	60401206	60846820	61322463	61806995	62276270	62766365	63258918	63700300	64128226	64613160	65128861	65595565	66022273
Georgia	GEO	4734000	4616100	4531600	4487300	4452500	4418300	4386400	4357000	4301000	4245000	4190000	4136000	4082000	4030000	3978000	3926000	3875000	3825000	3776000	3727000	3717100	3719300	3717100
Ghana	GHA	16760467	17185608	17608812	18036494	18477612	18938762	19421605	19924522	20446782	20986536	21542009	22113425	22700212	23298640	23903831	24512104	25121796	25733049	26346251	26962563	27582821	28206728	28833629
Gibraltar	GIB	30147	30382	30594	30801	30991	31180	31374	31544	31720	31896	32085	32296	32510	32732	32956	33189	33405	33623	33831	34038	34228	34408	34571
Guinea	GIN	7871173	8132552	8337988	8503297	8653769	8808546	8971139	9137345	9309848	9490229	9679745	9881428	10096727	10323142	10556524	10794170	11035170	11281469	11536615	11805509	12091533	12395924	12717176
"Gambia, The"	GMB	1066223	1096708	1128169	1160944	1195420	1231844	1270495	1311349	1354194	1398573	1444204	1491021	1539116	1588572	1639560	1692149	1746363	1802125	1859324	1917852	1977590	2038501	2100568
Guinea-Bissau	GNB	1137122	1159060	1179727	1199915	1220794	1243229	1267512	1293523	1321202	1350345	1380838	1412669	1445958	1480841	1517448	1555880	1596154	1638139	1681495	1725744	1770526	1815698	1861283
Equatorial Guinea	GNQ	504871	523999	544636	566673	589938	614323	639762	666407	694611	724817	757317	792217	829327	868418	909111	951104	994290	1038593	1083746	1129424	1175389	1221490	1267689
Greece	GRC	10562153	10608800	10661259	10720509	10761698	10805808	10862132	10902022	10928070	10955141	10987314	11020362	11048473	11077841	11107017	11121341	11104899	11045011	10965211	10892413	10820883	10775971	10760421
Grenada	GRD	100255	100796	101122	101309	101442	101619	101849	102100	102375	102656	102949	103259	103586	103930	104296	104677	105075	105481	105909	106360	106823	107317	107825
Greenland	GRL	55800	55900	56000	56100	56100	56200	56350	56609	56765	56911	56935	56774	56555	56328	56323	56905	56890	56810	56483	56295	56114	56186	56171
Guatemala	GTM	10408489	10646674	10887634	11133501	11387203	11650743	11924946	12208848	12500478	12796925	13096028	13397008	13700286	14006366	14316208	14630417	14948919	15271056	15596214	15923559	16252429	16582469	16913503
Guam	GUM	145561	148060	150303	152277	153953	155329	156401	157175	157714	158099	158402	158648	158855	159035	159231	159444	159678	159973	160375	160967	161797	162896	164229
Guyana	GUY	761291	761861	760510	757952	755278	753301	752263	751884	751857	751652	750946	749601	747869	746314	745693	746556	749100	753091	758081	763393	768514	773303	777859
High income	HIC	1078558586	1086071661	1093603568	1100763765	1108002668	1115010208	1122635089	1130299527	1137953182	1145971873	1154156034	1162908282	1172156434	1181962982	1190790909	1198787232	1204631343	1212058100	1219556921	1227211897	1234714041	1242137612	1249066228
"Hong Kong SAR, China"	HKG	6156100	6435500	6489300	6543700	6606500	6665000	6714300	6744100	6730800	6783500	6813200	6857100	6916300	6957800	6972800	7024200	7071600	7150100	7178900	7229500	7291300	7336600	7391700
Honduras	HND	5709051	5867849	6028882	6192026	6357221	6524283	6693061	6863157	7033821	7204153	7373430	7541406	7707972	7872658	8035021	8194778	8351600	8505646	8657785	8809216	8960829	9112867	9265067
Heavily indebted poor countries (HIPC)	HPC	413418810	425324425	437269757	449393754	461899663	474935556	488553040	502710676	517352559	532385197	547744433	563415107	579434057	595849807	612731524	630127436	648053253	666488623	685401960	704745420	724482652	744602976	765112280
Croatia	HRV	4669000	4494000	4572000	4501000	4554000	4426000	4440000	4440000	4440000	4439000	4442000	4440000	4436000	4434508	4429078	4417781	4280622	4267558	4255689	4238389	4203604	4174349	4125700
Haiti	HTI	7819806	7965553	8111951	8258483	8404398	8549200	8692567	8834733	8976552	9119178	9263404	9409457	9556889	9705029	9852870	9999617	10145054	10289210	10431776	10572466	10711061	10847334	10981229
Hungary	HUN	10328965	10311238	10290486	10266570	10237530	10210971	10187576	10158608	10129552	10107146	10087065	10071370	10055780	10038188	10022650	10000023	9971727	9920362	9893082	9866468	9843028	9814023	9781127
IBRD only	IBD	3738698415	3789573048	3840453296	3890434565	3939169000	3986056196	4032084833	4077072173	4121738823	4166120812	4210445215	4254416829	4297926816	4341646260	4385943475	4430022932	4474450995	4519551913	4564885065	4610015643	4654714482	4699231955	4743263932
IDA & IBRD total	IBT	4699923937	4775395700	4851072372	4925950743	4999779253	5072466718	5144856232	5216716203	5288758037	5361007554	5433668431	5506476109	5579375555	5653072135	5727963757	5803571023	5880131377	5957668177	6036113018	6114993204	6194062653	6273584648	6353204601
IDA total	IDA	961225522	985822652	1010619076	1035516178	1060610253	1086410522	1112771399	1139644030	1167019214	1194886742	1223223216	1252059280	1281448739	1311425875	1342020282	1373548091	1405680382	1438116264	1471227953	1504977561	1539348171	1574352693	1609940669
IDA blend	IDB	321107441	328964394	336924643	344939833	352915069	361050467	369246309	377544104	385980348	394625729	403526930	412705870	422204235	432032769	442179341	452947421	463997812	474993526	486261860	497751634	509396383	521159047	533023458
Indonesia	IDN	196957849	199914831	202826465	205715544	208612556	211540429	214506502	217508059	220545214	223614649	226712730	229838202	232989141	236159276	239340478	242524123	245707511	248883232	252032263	255131116	258162113	261115456	263991379
IDA only	IDX	640118081	656858258	673694433	690576345	707695184	725360055	743525090	762099926	781038866	800261013	819696286	839353410	859244504	879393106	899840941	920600670	941682570	963122738	984966093	1007225927	1029951788	1053193646	1076917211
Isle of Man	IMN	70070	70431	70869	71390	71952	72554	73192	73870	74587	75341	76118	76914	77727	78534	79325	80072	80759	81406	82013	82590	83167	83737	84287
India	IND	960482795	978893217	997405318	1015974042	1034539214	1053050912	1071477855	1089807112	1108027848	1126135777	1144118674	1161977719	1179681239	1197146906	1214270132	1230980691	1247236029	1263065852	1278562207	1293859294	1309053980	1324171354	1339180127
Not classified	INX																							
Ireland	IRL	3608841	3637510	3674171	3712696	3754786	3805174	3866243	3931947	3996521	4070262	4159914	4273591	4398942	4489544	4535375	4560155	4580084	4599533	4623816	4657740	4701957	4755335	4813608
"Iran, Islamic Rep."	IRN	60575644	61583089	62710557	63900630	65062660	66131854	67096414	67983330	68812713	69617100	70421811	71227880	72031103	72845542	73687565	74567511	75491582	76453574	77435384	78411092	79360487	80277428	81162788
Iraq	IRQ	20208387	20845893	21509291	22190250	22878156	23565413	24251649	24939299	25627626	26316609	27008426	27697912	28390433	29111417	29894652	30762701	31727053	32776571	33883145	35006080	36115649	37202572	38274618
Iceland	ISL	267468	268916	271128	274047	277381	281205	284968	287523	289521	292074	296734	303782	311566	317414	318499	318041	319014	320716	323764	327386	330815	335439	341284
Israel	ISR	5545000	5692000	5836000	5971000	6125000	6289000	6439000	6570000	6689700	6809000	6930100	7053700	7180100	7308800	7485600	7623600	7765800	7910500	8059500	8215700	8380100	8546000	8712400
Italy	ITA	56844303	56860281	56890372	56906744	56916317	56942108	56974100	57059007	57313203	57685327	57969484	58143979	58438310	58826731	59095365	59277417	59379449	59539717	60233948	60789140	60730582	60627498	60551416
Jamaica	JAM	2537440	2561993	2586827	2611367	2634882	2656864	2677011	2695446	2712511	2728777	2744673	2760279	2775467	2790122	2804082	2817210	2829493	2840992	2851807	2862087	2871934	2881355	2890299
Jordan	JOR	4572904	4716373	4832267	4927912	5014899	5103130	5193482	5287488	5396774	5535595	5714111	5934232	6193191	6489822	6821116	7182390	7574943	7992573	8413464	8809306	9159302	9455802	9702353
Japan	JPN	125439000	125757000	126057000	126400000	126631000	126843000	127149000	127445000	127718000	127761000	127773000	127854000	128001000	128063000	128047000	128070000	127833000	127629000	127445000	127276000	127141000	126994511	126785797
Kazakhstan	KAZ	15815626	15577894	15333703	15071300	14928426	14883626	14858335	14858948	14909018	15012985	15147029	15308084	15484192	15674000	16092822	16321872	16557201	16792089	17035550	17288285	17542806	17794055	18037646
Kenya	KEN	27346456	28147734	28954114	29769803	30600397	31450483	32321482	33214009	34130852	35074931	36048288	37052050	38085909	39148416	40237204	41350152	42486839	43646629	44826849	46024250	47236259	48461567	49699862
Kyrgyz Republic	KGZ	4560400	4628400	4696400	4769000	4840400	4898400	4945100	4990700	5043300	5104700	5162600	5218400	5268400	5318700	5383300	5447900	5514600	5607200	5719600	5835500	5956900	6079500	6201500
Cambodia	KHM	10653558	10980273	11295880	11597739	11883636	12152354	12402473	12634729	12853124	13063377	13270201	13474489	13676693	13880509	14090208	14308740	14537886	14776866	15022692	15270790	15517635	15762370	16005373
Kiribati	KIR	77730	78907	80184	81550	82966	84406	85858	87343	88895	90542	92325	94260	96311	98440	100568	102652	104656	106613	108535	110458	112407	114395	116398
St. Kitts and Nevis	KNA	42891	43373	43846	44317	44824	45374	45990	46641	47306	47971	48611	49210	49783	50332	50886	51445	52006	52591	53169	53739	54288	54821	55345
"Korea, Rep."	KOR	45092991	45524681	45953580	46286503	46616677	47008111	47370164	47644736	47892330	48082519	48184561	48438292	48683638	49054708	49307835	49554112	49936638	50199853	50428893	50746659	51014947	51245707	51466201
Kuwait	KWT	1610651	1631740	1715314	1836353	1957066	2050741	2109355	2143833	2169118	2207939	2276623	2377258	2503410	2652340	2818939	2998083	3191051	3395556	3598385	3782450	3935794	4052584	4136528
Latin America & Caribbean (excluding high income)	LAC	424626030	431868811	439044994	446128863	453089523	459908706	466569961	473087978	479514487	485921455	492360617	498847473	505365856	511896377	518406797	524870761	531283625	537645733	543940758	550149862	556257851	562254848	568136842
Lao PDR	LAO	4851923	4957180	5056519	5150763	5241284	5329304	5414568	5497273	5579656	5664605	5754026	5849356	5949787	6052190	6152036	6246274	6333487	6415169	6494557	6576397	6663967	6758353	6858160
Lebanon	LBN	3033394	3070960	3092670	3113951	3156646	3235366	3359859	3522837	3701464	3863267	3986852	4057350	4086466	4111047	4183156	4337141	4588368	4916404	5276102	5603279	5851479	6006668	6082357
Liberia	LBR	2073482	2191179	2358469	2551062	2734518	2884522	2991132	3062863	3116233	3176414	3261230	3375838	3512932	3662993	3811528	3948125	4070167	4181563	4286291	4390737	4499621	4613823	4731906
Libya	LBY	4948798	5035884	5117269	5195502	5274163	5355751	5440566	5527515	5615952	5704759	5792688	5881435	5970362	6053078	6121053	6169140	6193501	6198258	6195970	6204108	6234955	6293253	6374616
St. Lucia	LCA	147044	149004	151086	153183	155172	156949	158464	159763	160973	162251	163714	165407	167288	169220	171022	172580	173832	174835	175660	176421	177206	178015	178844
Latin America & Caribbean	LCN	485913138	493920488	501837820	509664957	517324344	524829251	532172709	539372044	546478662	553563090	560673962	567821716	574994397	582179826	589349327	596478519	603537118	610547919	617495658	624335544	631062657	637663890	644137666
Least developed countries: UN classification	LDC	585496175	600926162	616437048	632146821	648229112	664804763	681932226	699560739	717572892	735796583	754118072	772488966	790978141	809730997	828953320	848791962	869298106	890423474	912093996	934192321	956631108	979387925	1002485957
Low income	LIC	406983803	418317960	429730581	441325367	453254723	465631330	478477973	491764952	505488618	519630935	534172627	549135479	564514253	580229110	596172925	612274687	628504663	644901894	661550623	678572076	696058453	714022293	732448558
Liechtenstein	LIE	30833	31325	31838	32355	32842	33286	33671	34018	34321	34596	34852	35095	35322	35541	35766	36003	36264	36545	36834	37127	37403	37666	37922
Sri Lanka	LKA	18247121	18372120	18476505	18570701	18669103	18781938	18913054	19059300	19215307	19372538	19524558	19670151	19810789	19945832	20075086	20198353	20315017	20425000	20585000	20771000	20966000	21203000	21444000
Lower middle income	LMC	2082090008	2121803515	2161549857	2201139625	2240561424	2280235216	2320035800	2359924081	2399909122	2439908661	2479864962	2519781995	2559728298	2599821177	2640211692	2681264749	2722672277	2764105969	2805845772	2847559084	2889349899	2931075528	2972642807
Low & middle income	LMY	4635235786	4710560456	4785830332	4860402272	4933815918	5006672528	5078705169	5150230538	5221946114	5293853508	5366142729	5438568259	5511067338	5584333697	5658778430	5734082511	5810352625	5887499549	5965580605	6044110924	6122845409	6202019744	6281293921
Lesotho	LSO	1761359	1787273	1810453	1831298	1850527	1868699	1885955	1902312	1918097	1933728	1949543	1965662	1982287	1999930	2019209	2040551	2064166	2089928	2117361	2145785	2174645	2203821	2233339
