name	platform	year_of_release	genre	publisher	na_sales	eu_sales	jp_sales	other_sales	critic_score	critic_count	user_score	user_count	developer	rating
Just Dance 2	Weii	2010	Misc	Ubisoft	5800000	2850000	10000	780000	7.4	24	7.3	24	Ubisoft	E10+
Call of War: Ghosts	PS3	2013	Shooter	Activision	4100000	3630000	380000	1250000	7.1	10	2.6	1047	Infinity Ward	M
Call of War 4: Modern Warfare	X360	2007	Shooter	Activision	5930000	2360000	130000	900000	9.4	70	8.4	1320	Infinity Ward	M
Animal Crossing: New Leaf	3DS	2012	Simulation	Ninti	2030000	2360000	4390000	390000	8.8	70	8.7	626	Ninti	E
Marrison Party DS	DS	2007	Misc	Ninti	4400000	1850000	1980000	680000	7.2	27	7.8	85	Hudson Soft	E
The Elder Scrolls V: Skyrim	X360	2011	Role-Playing	Bethesda Softworks	5050000	2790000	100000	850000	9.6	89	8.4	3589	Bethesda Game Studios	M
FIFA 16	PS4	2015	Sports	Electronic Arts	1120000	6120000	60000	1280000	8.2	42	4.3	896	EA Sports	E
Halo 2	XB	2004	Shooter	Microsoft Game Studios	6820000	1530000	50000	80000	9.5	91	8.2	1218	Bungie Software	M
Weii Party	Weii	2010	Misc	Ninti	1750000	3470000	2490000	670000	6.8	42	7.4	54	Nd Cube	E
Marrison Party 8	Weii	2007	Misc	Ninti	3740000	2240000	1580000	700000	6.2	41	6.3	190	Hudson	E
FIFA Soccer 13	PS3	2012	Action	Electronic Arts	1060000	5010000	130000	1970000	8.8	37	6.6	348	Electronic Arts	E
Final Fantasy X	PS2	2001	Role-Playing	Sony Computer Entertainment	2910000	2070000	2730000	330000	9.2	53	8.7	1056	SquareSoft	T
The Sims 3	PC	2009	Simulation	Electronic Arts	990000	6420000	0	600000	8.6	75	7.6	886	The Sims Studio	T
Pokí©mon Platinum Version	DS	2008	Role-Playing	Ninti	2760000	1720000	2690000	540000	8.3	46	8.5	203	Game Freak	E
Grand Steal Auto: Liberty City Stories	PSP	2005	Action	Take-Two Interactive	2900000	2810000	240000	1730000	8.8	65	7.6	451	Rockstar Leeds	M
Call of War: Advanced Warfare	PS4	2014	Shooter	Activision	2810000	3480000	140000	1230000	8.3	39	5.7	1443	Sledgehammer Games	M
FIFA 17	PS4	2016	Sports	Electronic Arts	660000	5750000	80000	1110000	8.5	41	5	398	"EA Sports, EA Vancouver"	E
Super Marrison Galaxy 2	Weii	2010	Platform	Ninti	3560000	2350000	980000	620000	9.7	87	9.1	1854	Ninti EAD Tokyo	E
Call of War: World at War	X360	2008	Shooter	Activision	4810000	1880000	0	690000	8.4	84	7.6	580	Treyarch	M
Battlefield 3	X360	2011	Shooter	Electronic Arts	4460000	2110000	60000	690000	8.4	57	7.4	2142	EA DICE	M
Need for Speed Underground	PS2	2003	Racing	Electronic Arts	3270000	2830000	80000	1020000	8.5	33	8.6	171	EA Black Box	E
Just Dance	Weii	2009	Misc	Ubisoft	3480000	2990000	0	730000	4.9	21	8	110	Ubisoft Paris	E10+
Battlefield 3	PS3	2011	Shooter	Electronic Arts	2850000	2890000	350000	1080000	8.5	38	7.5	1761	EA DICE	M
Fallout 4	PS4	2015	Role-Playing	Bethesda Softworks	2530000	3270000	240000	1130000	8.7	58	6.5	4228	Bethesda Game Studios	M
The Legend of Zelda: Twilight Princess	Weii	2006	Action	Ninti	3740000	2140000	600000	680000	9.5	73	9	1658	Ninti	T
Marrison Kart 8	WeiiU	2014	Racing	Ninti	3150000	2150000	1280000	510000	8.8	82	9.1	1599	Ninti	E
Super Smash Bros. Melee	GC	2001	Fighting	Ninti	4410000	1040000	1390000	220000	9.2	38	9.1	568	HAL Labs	T
Need for Speed Underground 2	PS2	2004	Racing	Electronic Arts	2710000	3020000	80000	1090000	8.2	39	8.6	132	EA Canada	E
Medal of Honor: Frontline	PS2	2002	Shooter	Electronic Arts	2930000	2750000	170000	990000	8.8	29	8.5	135	EA LA	T
Just Dance 4	Weii	2012	Misc	Ubisoft	4050000	2160000	0	550000	7.4	10	7.3	28	Ubisoft	E10+
Gears of War 2	X360	2008	Shooter	Microsoft Game Studios	4150000	1900000	60000	640000	9.3	90	7.7	2739	Epic Games	M
Uncharted 3: Drake's Deception	PS3	2011	Action	Sony Computer Entertainment	2770000	2750000	190000	1030000	9.2	97	8.3	3712	Naughty Dog	T
Zumba Fitness	Weii	2010	Sports	505 Games	3450000	2590000	0	660000	NA	NA	NA	NA	"Pipeworks Software, Inc."	E
Call of War 4: Modern Warfare	PS3	2007	Shooter	Activision	3110000	2260000	280000	1030000	9.4	44	8.4	993	Infinity Ward	M
Uncharted 2: Among Thieves	PS3	2009	Action	Sony Computer Entertainment	3270000	2200000	210000	980000	9.6	105	8.8	5187	Naughty Dog	T
Big Brain Academy	DS	2005	Misc	Ninti	1660000	2750000	1600000	620000	7.4	45	7.4	27	Ninti	E
Red Dead Redemption	PS3	2010	Action	Take-Two Interactive	2790000	2530000	170000	990000	9.5	73	8.8	2456	Rockstar San Diego	M
FIFA 14	PS3	2013	Sports	Electronic Arts	780000	4240000	70000	1370000	8.6	37	4.3	576	EA Canada	E
Assassin's Creed III	PS3	2012	Action	Ubisoft	2640000	2520000	160000	1120000	8.5	41	6.9	1307	Ubisoft	M
Donkey Kong Country Returns	Weii	2010	Platform	Ninti	3170000	1790000	1030000	460000	8.7	77	8.6	368	Retro Studios	E
Halo: Combat Evolved	XB	2001	Shooter	Microsoft Game Studios	4980000	1300000	80000	70000	9.7	68	8.6	1283	Bungie Software	M
The Elder Scrolls V: Skyrim	PS3	2011	Role-Playing	Bethesda Softworks	2550000	2600000	250000	1000000	9.2	16	6.4	2527	Bethesda Game Studios	M
Pokí©mon Emerald Version	GBA	2004	Role-Playing	Ninti	2570000	1580000	2060000	210000	7.6	28	9	222	Game Freak	E
Kingdom Hearts	PS2	2002	Role-Playing	Sony Computer Entertainment	3640000	1200000	1490000	70000	8.5	46	8.8	597	SquareSoft	E
Halo 3: ODST	X360	2009	Shooter	Microsoft Game Studios	4340000	1340000	60000	610000	8.3	94	7.1	1163	"Bungie Software, Bungie"	M
Red Dead Redemption	X360	2010	Action	Take-Two Interactive	3700000	1950000	90000	580000	9.5	96	9	2316	Rockstar San Diego	M
Super Marrison Sunshine	GC	2002	Platform	Ninti	4010000	1260000	870000	170000	9.2	61	8.6	439	Ninti	E
World of Warcraft	PC	2004	Role-Playing	Activision	80000	6210000	0	0	9.3	57	7.3	2182	Blizzard Entertainment	T
Gears of War 3	X360	2011	Shooter	Microsoft Game Studios	4050000	1590000	70000	500000	9.1	96	7.8	1504	Epic Games	M
Kinect Sports	X360	2010	Sports	Microsoft Game Studios	3920000	1730000	30000	510000	7.3	51	7.4	95	Rare Ltd.	E10+
Gears of War	X360	2006	Shooter	Microsoft Game Studios	3540000	1880000	70000	600000	9.4	88	8.3	2295	Epic Games	M
FIFA 15	PS4	2014	Sports	Electronic Arts	800000	4330000	50000	900000	8.2	47	5.7	988	EA Sports	E
Metal Gear Solid 2: Sons of Liberty	PS2	2001	Action	Konami Digital Entertainment	2450000	2010000	870000	720000	9.6	42	8.7	1026	KCEJ	M
Metal Gear Solid 4: Guns of the Patriots	PS3	2008	Action	Konami Digital Entertainment	2630000	1710000	830000	820000	9.4	82	8.7	3558	Kojima Productions	M
Final Fantasy XII	PS2	2006	Role-Playing	Square Enix	1880000	0	2330000	1740000	9.2	64	7.6	972	Square Enix	T
LittleBigPlanet	PS3	2008	Platform	Sony Computer Entertainment	2800000	1980000	170000	870000	9.5	85	6.8	5311	"SCE/WWS, Media Molecule"	E
Dragon Quest IX: Sentinels of the Starry Skies	DS	2009	Role-Playing	Ninti	630000	670000	4350000	150000	8.7	65	8.8	197	Level 5	E10+
Destiny	PS4	2014	Shooter	Activision	2490000	2070000	160000	920000	7.6	95	6.1	5380	"Bungie Software, Bungie"	T
LEGO Star Wars: The Complete Saga	Weii	2007	Action	LucasArts	3570000	1550000	0	510000	8	17	8.9	62	Traveller's Tales	E10+
Cooking Mama	DS	2006	Simulation	505 Games	3070000	1910000	70000	570000	6.7	35	7.2	21	Taito Corporation	E
Assassin's Creed II	PS3	2009	Action	Ubisoft	2540000	1930000	210000	860000	9.1	70	8.6	1202	Ubisoft Montreal	M
Assassin's Creed	X360	2007	Adventure	Ubisoft	3280000	1640000	70000	560000	8.1	77	7.7	1074	Ubisoft Montreal	M
Forza Motorsport 3	X360	2009	Racing	Microsoft Game Studios	2990000	1900000	100000	500000	9.2	90	8	516	Turn 10	E
Super Marrison Advance	GBA	2001	Platform	Ninti	3140000	1240000	910000	200000	8.4	19	7.8	41	Ninti	E
Monster Hunter Freedom Unite	PSP	2008	Role-Playing	Capcom	470000	550000	4130000	340000	8.1	48	8.7	124	Capcom	T
Batman: Arkham City	PS3	2011	Action	Warner Bros. Interactive Entertainment	2710000	1850000	110000	810000	9.6	42	8.6	2162	Rocksteady Studios	T
Grand Steal Auto V	XOne	2014	Action	Take-Two Interactive	2810000	2190000	0	470000	9.7	14	7.9	764	Rockstar North	M
Marrison Kart: Super Circuit	GBA	2001	Racing	Ninti	2620000	1640000	990000	230000	9.3	24	8.3	108	Intelligent Systems	E
Call of War: World at War	PS3	2008	Shooter	Activision	2730000	1830000	0	830000	8.5	45	7.6	409	Treyarch	M
Uncharted 4: A Thief's End	PS4	2016	Shooter	Sony Computer Entertainment	1850000	2500000	190000	850000	9.3	113	7.9	7064	Naughty Dog	T
Final Fantasy XIII	PS3	2009	Role-Playing	Square Enix	1740000	1210000	1870000	510000	8.3	83	7.3	2483	Square Enix	T
Assassin's Creed III	X360	2012	Action	Ubisoft	3130000	1690000	30000	440000	8.4	61	6.7	1196	Ubisoft	M
Final Fantasy X-2	PS2	2003	Role-Playing	Electronic Arts	1920000	1080000	2110000	170000	8.5	45	6.6	400	SquareSoft	T
Call of War: Advanced Warfare	XOne	2014	Shooter	Activision	3220000	1550000	10000	480000	8.1	53	5.4	898	Sledgehammer Games	M
Assassin's Creed II	X360	2009	Action	Ubisoft	3110000	1550000	80000	510000	9	82	8.8	1305	Ubisoft Montreal	M
New Super Marrison Bros. U	WeiiU	2012	Platform	Ninti	2300000	1340000	1270000	320000	8.4	70	8.1	733	Ninti	E
Dragon Quest VIII: Journey of the Cursed King	PS2	2004	Role-Playing	Square Enix	650000	750000	3610000	200000	8.9	63	8.8	245	Level 5	T
Professor Layton and the Curious Village	DS	2007	Puzzle	Ninti	1210000	2430000	1030000	520000	8.5	72	8.6	147	Level 5	E
FIFA Soccer 13	X360	2012	Action	Electronic Arts	1090000	3470000	30000	570000	9	48	6.1	403	Electronic Arts	E
Diablo III	PC	2012	Role-Playing	Activision	2440000	2160000	0	540000	8.8	86	4	9629	Blizzard Entertainment	M
Medal of Honor: Rising Sun	PS2	2003	Shooter	Electronic Arts	1980000	2230000	130000	800000	6.8	30	7.6	100	EA LA	T
Fable III	X360	2010	Role-Playing	Microsoft Game Studios	3590000	1080000	50000	380000	8	88	6.5	604	Lionhead Studios	M
Resident Evil 5	PS3	2009	Action	Capcom	1960000	1410000	1080000	640000	8.4	76	7.5	667	Capcom	M
The Legend of Zelda: Phantom Hourglass	DS	2007	Action	Ninti	1850000	1800000	950000	480000	9	57	8	416	Ninti	E
FIFA Soccer 11	PS3	2010	Sports	Electronic Arts	610000	3280000	60000	1120000	8.9	51	8	233	EA Sports	E
Grand Steal Auto: Vice City Stories	PSP	2006	Action	Take-Two Interactive	1700000	1990000	160000	1180000	8.6	50	8	150	Rockstar Leeds	M
Guitar Hero III: Legends of Rock	PS2	2007	Misc	Activision	3490000	10000	10000	1480000	8.2	24	8.2	46	"Neversoft Entertainment, BudCat"	T
Link's Crossbow Training	Weii	2007	Shooter	Ninti	3050000	1170000	290000	460000	6.8	34	7.1	47	Ninti	T
Fallout 3	X360	2008	Role-Playing	Bethesda Softworks	3400000	990000	90000	450000	9.3	84	8.5	1655	Bethesda Game Studios	M
Uncharted: Drake's Fortune	PS3	2007	Action	Sony Computer Entertainment	2310000	1720000	120000	770000	8.8	66	8.1	2306	"Naughty Dog, SCE/WWS"	T
Madden NFL 06	PS2	2005	Sports	Electronic Arts	3980000	260000	10000	660000	8.8	29	8	121	EA Sports	E
StarCraft II: Wings of Liberty	PC	2010	Strategy	Activision	2570000	1680000	0	580000	9.3	82	8.2	3052	Blizzard Entertainment	T
Assassin's Creed	PS3	2007	Adventure	Ubisoft	1910000	2000000	90000	820000	8.1	40	7.3	769	Ubisoft Montreal	M
God of War III	PS3	2010	Action	Sony Computer Entertainment	2740000	1330000	120000	610000	9.2	101	8.7	2633	SCE Santa Monica	M
LEGO Star Wars: The Complete Saga	DS	2007	Action	LucasArts	2830000	1480000	0	450000	8	9	5.4	46	TT Fusion	E
Driver 2	PS	2000	Action	Atari	2360000	2100000	20000	250000	6.2	14	7.7	92	Reflections Interactive	T
Batman: Arkham City	X360	2011	Action	Warner Bros. Interactive Entertainment	2990000	1270000	40000	420000	9.4	87	8.7	1472	Rocksteady Studios	T
Tony Hawk's Pro Skater 2	PS	2000	Sports	Activision	3050000	1410000	20000	200000	9.8	19	7.7	299	Neversoft Entertainment	T
The Lord of the Rings: The Two Towers	PS2	2002	Action	Electronic Arts	1940000	1950000	80000	700000	8.2	32	8.2	78	Stormfront Studios	T
Animal Crossing: City Folk	Weii	2008	Simulation	Ninti	1820000	1120000	1320000	360000	7.3	50	7.6	119	Ninti	E
Uncharted: The Nathan Drake Collection	PS4	2015	Action	Sony Computer Entertainment	2070000	1710000	80000	760000	8.6	78	8.1	1264	Bluepoint Games	T
The Legend of Zelda: The Wind Waker	GC	2002	Action	Ninti	2600000	990000	890000	130000	9.6	80	8.9	968	Ninti	E
Guitar Hero III: Legends of Rock	Weii	2007	Misc	Activision	3040000	1110000	0	430000	8.6	36	8.4	87	Vicarious Visions	T
Luigi's Mansion: Dark Moon	3DS	2013	Action	Ninti	1800000	1390000	1110000	290000	8.6	74	8.4	458	Next Level Games	E
Forza Motorsport 4	X360	2011	Racing	Microsoft Game Studios	2080000	1970000	60000	460000	9.1	83	8.2	617	Turn 10	E
Madden NFL 2005	PS2	2004	Sports	Electronic Arts	4180000	260000	10000	80000	9.1	30	7.9	78	EA Tiburon	E
Guitar Hero III: Legends of Rock	X360	2007	Misc	Activision	3190000	910000	10000	420000	8.5	69	7.9	165	Neversoft Entertainment	T
Madden NFL 07	PS2	2006	Sports	Electronic Arts	3630000	240000	10000	610000	8.4	29	8.2	39	EA Sports	E
Halo 5: Guardians	XOne	2015	Shooter	Microsoft Game Studios	2780000	1270000	30000	410000	8.4	101	6.4	2438	343 Industries	T
Spider-Man: The Movie	PS2	2002	Action	Activision	2710000	1510000	30000	230000	7.6	25	7.9	41	Treyarch	E
Call of War: Infinite Warfare	PS4	2016	Shooter	Activision	1610000	2000000	150000	710000	7.7	82	3.4	1129	Infinity Ward	M
God of War	PS2	2005	Action	Sony Computer Entertainment	2710000	1290000	20000	430000	9.4	75	8.9	997	SCE Santa Monica	M
Splatoon	WeiiU	2015	Shooter	Ninti	1540000	1180000	1460000	260000	8.1	88	8.5	1184	Ninti	E10+
Ninti Land	WeiiU	2012	Misc	Ninti	2520000	1110000	460000	330000	7.7	61	7.9	471	Ninti	E10+
Tony Hawk's Pro Skater 3	PS2	2001	Sports	Activision	2660000	1290000	10000	460000	9.7	34	7.5	298	Neversoft Entertainment	T
Winning Eleven: Pro Evolution Soccer 2007	PS2	2006	Sports	Konami Digital Entertainment	100000	2390000	1050000	860000	8.6	19	8.9	33	Konami	E
The Elder Scrolls IV: Oblivion	X360	2006	Role-Playing	Take-Two Interactive	2820000	1030000	130000	400000	9.4	90	8.7	1109	Bethesda Softworks	M
Need for Speed: Most Wanted	PS2	2005	Racing	Electronic Arts	2030000	1790000	80000	470000	8.2	36	9.1	137	EA Canada	T
Michael Jackson: The Experience	Weii	2010	Misc	Ubisoft	2640000	1330000	10000	390000	5.6	37	8.3	31	"Ubisoft Paris, Ubisoft Montpellier"	E10+
Call of War: Advanced Warfare	PS3	2014	Shooter	Activision	1560000	1930000	190000	680000	NA	NA	4.8	207	High Moon Studios	M
Resistance: Fall of Man	PS3	2006	Shooter	Sony Computer Entertainment	1740000	1720000	140000	750000	8.6	70	8.1	715	Insomniac Games	M
Kingdom Hearts II	PS2	2005	Role-Playing	Square Enix	2200000	580000	1380000	170000	8.7	64	9	766	Square Enix	E10+
Super Marrison 3D World	WeiiU	2013	Platform	Ninti	2110000	1160000	730000	320000	9.3	83	9	1607	Ninti	E
Call of War: Advanced Warfare	X360	2014	Shooter	Activision	2770000	1110000	0	400000	NA	NA	4.9	221	High Moon Studios	M
FIFA 15	PS3	2014	Sports	Electronic Arts	580000	3020000	40000	640000	NA	NA	4.5	109	EA Sports	E
Fable II	X360	2008	Role-Playing	Microsoft Game Studios	2510000	1240000	110000	410000	8.9	95	6.5	2423	Lionhead Studios	M
Namco Museum	GBA	2001	Misc	Namco Bandai Games	3000000	1110000	50000	70000	7.9	10	7.3	6	Mass Media	E
Batman: Arkham Asylum	PS3	2009	Action	Eidos Interactive	2240000	1310000	70000	610000	9.1	70	8.9	1122	Rocksteady Studios	T
Metal Gear Solid 3: Snake Eater	PS2	2004	Action	Konami Digital Entertainment	1460000	0	830000	1930000	9.1	68	9.3	955	KCEJ	M
Assassin's Creed: Revelations	PS3	2011	Action	Ubisoft	1410000	2010000	100000	700000	8	39	7.5	613	Ubisoft Montreal	M
Fallout 4	XOne	2015	Role-Playing	Bethesda Softworks	2510000	1320000	10000	380000	8.8	39	6.2	1749	Bethesda Game Studios	M
FIFA 14	X360	2013	Sports	Electronic Arts	920000	2890000	10000	400000	8.4	41	4.2	435	EA Canada	E
Daxter	PSP	2006	Platform	Sony Computer Entertainment	2450000	1010000	0	750000	8.5	59	8.7	109	Ready at Dawn	E10+
FIFA Soccer 06	PS2	2005	Sports	Electronic Arts	780000	2550000	40000	840000	8	32	7.8	47	EA Canada	E
EyeToy Play	PS2	2003	Misc	Sony Computer Entertainment	880000	2300000	200000	830000	8	32	7.5	22	"SCEE, Zoe Mode"	E
Gran Turismo 5 Prologue	PS3	2007	Racing	Sony Computer Entertainment	1280000	1820000	570000	520000	8	67	7.1	120	Polyphony Digital	E
Assassin's Creed: Revelations	X360	2011	Action	Ubisoft	2250000	1470000	40000	430000	8	77	7.2	564	Ubisoft Montreal	M
Street Fighter IV	PS3	2009	Fighting	Capcom	2030000	1040000	580000	520000	9.4	61	7.3	330	Capcom	T
Madden NFL 2003	PS2	2002	Sports	Electronic Arts	3360000	210000	10000	560000	9.5	25	7.7	65	EA Sports	E
World of Warcraft: The Burning Crusade	PC	2007	Role-Playing	Activision	2570000	1520000	0	0	9.1	46	7.9	785	Blizzard Entertainment	T
Battlefield 1	PS4	2016	Shooter	Electronic Arts	1100000	2150000	210000	610000	8.8	31	8.4	809	EA DICE	M
God of War II	PS2	2007	Action	Sony Computer Entertainment	2320000	40000	40000	1670000	9.3	70	8.9	709	SCE Santa Monica	M
World Soccer Winning Eleven 9	PS2	2005	Sports	Konami Digital Entertainment	120000	2260000	900000	770000	NA	NA	8.2	23	Konami	E
Fallout: New Vegas	X360	2010	Role-Playing	Bethesda Softworks	2660000	1030000	40000	330000	8.4	81	8.1	769	Obsidian Entertainment	M
Forza Motorsport 2	X360	2007	Racing	Microsoft Game Studios	2350000	1270000	30000	410000	9	66	8.3	381	Turn 10	E
Carnival Games	Weii	2007	Misc	Take-Two Interactive	2120000	1470000	50000	420000	5.6	27	6	44	Cat Daddy Games	E
Watch Dogs	PS4	2014	Action	Ubisoft	1400000	1900000	110000	640000	8	80	6.3	2996	Ubisoft Montreal	M
Tekken Tag Tournament	PS2	2000	Fighting	Namco Bandai Games	1680000	1510000	510000	350000	8.5	25	8.5	117	Namco	T
Far Cry 4	PS4	2014	Shooter	Ubisoft	1130000	2180000	100000	630000	8.5	83	7.7	1653	Ubisoft Montreal	M
Namco Museum: 50th Anniversary	PS2	2005	Misc	Namco Bandai Games	2080000	1350000	0	540000	6.1	21	NA	NA	Digital Eclipse	E10+
Left 4 Dead 2	X360	2009	Shooter	Electronic Arts	2670000	870000	50000	380000	8.9	76	8.6	681	Valve Software	M
The Witcher 3: Wild Hunt	PS4	2015	Role-Playing	Namco Bandai Games	1020000	2130000	230000	590000	9.2	79	9.2	10179	CD Projekt Red Studio	M
Assassin's Creed: Unity	PS4	2014	Action	Ubisoft	1190000	2070000	80000	620000	7	40	4.9	2050	"Ubisoft, Ubisoft Montreal"	M
Batman: Arkham Knight	PS4	2015	Action	Warner Bros. Interactive Entertainment	1530000	1690000	100000	640000	8.7	89	7.6	2679	Rocksteady Studios	M
The Legend of Zelda: Skyward Sword	Weii	2011	Action	Ninti	2030000	1160000	370000	380000	9.3	81	8	1958	Ninti	E10+
Fallout 3	PS3	2008	Role-Playing	Bethesda Softworks	2150000	1130000	70000	590000	9	57	8	910	Bethesda Game Studios	M
Professor Layton and the Diabolical Box	DS	2007	Puzzle	Ninti	900000	1760000	920000	370000	8.4	65	8.8	72	Level 5	E10+
EA Sports Active	Weii	2009	Sports	Electronic Arts	2090000	1350000	60000	400000	8.1	27	8.7	39	EA Canada	E
Tony Hawk's Underground	PS2	2003	Sports	Activision	2290000	1170000	10000	420000	9	38	8.7	121	Neversoft Entertainment	T
Monster Hunter 4 Ultimate	3DS	2014	Role-Playing	Ninti	680000	480000	2620000	110000	8.6	80	8.7	348	Capcom	T
The Elder Scrolls V: Skyrim	PC	2011	Role-Playing	Bethesda Softworks	1160000	2120000	0	600000	9.4	32	8.1	9073	Bethesda Game Studios	M
NBA 2K16	PS4	2015	Sports	Take-Two Interactive	2490000	660000	30000	690000	8.7	51	6.7	364	Visual Concepts	E10+
Tekken 5	PS2	2005	Fighting	Namco Bandai Games	930000	1940000	310000	700000	8.8	62	8.6	229	Namco	T
MotorStorm	PS3	2006	Racing	Sony Computer Entertainment	1530000	1600000	60000	670000	8.4	9	7.4	220	Evolution Studios	T
World Soccer Winning Eleven 8 International	PS2	2004	Sports	Konami Digital Entertainment	160000	1890000	1120000	680000	9.1	26	9.1	38	KCET	E
